artist,song,link,text
ZAYN,Common,/z/zayn+malik/common_21579977.html,"[Verse 1]
Always lookin' out behind my fences
Always felt isolated, oh-oh-oh
I don't know why I was so defensive
I'll find a way to let you in

[Pre-Chorus]
I will die if I don't try
Damned if I ask why
This is somethin' real
This is somethin' right
Never been in love
Never found it at all until now

[Chorus]
As I lay here in your bed
I need you on my chest
To warm me all the time
To tickle with your breath
Sweetin' on your lips
There ain't nothin' common 'bout us
In this ordinary world
Where nothin' is enough
Everything is grey
Mistake your love for lust
When I hold you in my arms
There ain't nothin' common 'bout us

[Post-Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us

[Verse 2]
I see all your flaws and imperfections
But that's what makes me love you more, oh-oh-oh
We got such a spiritual connection
Don't you know you're fuckin' beautiful

[Pre-Chorus]
I will die if I don't try
Damned if I ask why
This is somethin' real
This is somethin' right
Never been in love
Never found felt at all until now

[Chorus]
As I lay in your bed
I need you on my chest
To warm me all the time
To tickle with your breath
Sweetin' on your lips
There ain't nothin' common 'bout us
In this ordinary world
Where nothin' is enough
Everything is grey
Mistake your love for lust
When I hold you in my arms
There ain't nothin' common 'bout us

[Post-Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us

[Bridge]
I wanna feel your love
Just give me all your trust
Common ain't us
'Cause common ain't enough

[Chorus]
In this ordinary world
Where nothin' is enough
Everything is grey
Mistake your love for lust
When I hold you in my arms
There ain't nothin' common 'bout us

[Post-Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us"
ZAYN,Connexion,/z/zayn+malik/connexion_1767035.html,"[Verse 1]
Funny when you come to mind
That's when you hit me up
And that's when we feel a little closer
Just when I started thinkin'
It's like a force we can't explain
Work like a magnet, babe
I thought of you in the next moment
Givin' me that feeling

[Pre-Chorus]
Could be my suspicion
Maybe I'm just out here overthinkin', oh, oh
Like you come into the picture
When I start to feel like something's missing, oh, oh, oh-ooh

[Chorus]
And I don't wanna miss out on another love
So I'm gonna dive right in
Go headfirst into the unknown (Unknown, unknown)
Like it's all I know (Like it's all I know)
Baby, could you give it up?
Don't wanna stop at words, ain't enough
Feels just likе a drug
Really fuck me up

[Post-Chorus]
Call it (Ooh, ooh-ooh, ooh-ooh, ooh)
A digital (Ooh, ooh-ooh, ooh-ooh, ooh)
But physical (Ooh, ooh-ooh, ooh-ooh, ooh)
Connexion (Yеah-yeah, yeah-yeah)
Call it (Ooh, ooh-ooh, ooh-ooh, ooh)
A digital (Ooh, ooh-ooh, ooh-ooh, ooh)
But physical (Ooh, ooh-ooh, ooh-ooh, ooh)
Connexion

[Verse 2]
Love you every single night
That's when I feel your love
That's when I take your clothes off
Can we stay in the bedroom?
'Cause you're always on my brain
I can't get away
Leavin' for you next mornin'
Give into the feelin'

[Pre-Chorus]
Could be my suspicion
Maybe I'm just out here overthinkin', oh, oh (Oh, oh)
Like you come into the picture
When I start to feel like something's missing, oh, oh, oh-ooh

[Chorus]
I don't wanna miss out on another love
So I'm gonna dive right in, go head first into the unknown (Unknown)
Like it's all I know (Like it's all I know)
Baby, could you give it up?
Don't wanna stop and words ain't enough
Feels just like a drug
It really fuck me up

[Post-Chorus]
Call it (Ooh, ooh-ooh, ooh-ooh, ooh)
A digital (Ooh, ooh-ooh, ooh-ooh, ooh)
But physical (Ooh, ooh-ooh, ooh-ooh, ooh)
Connexion (Yeah-yeah, yeah-yeah)
Call it (Ooh, ooh-ooh, ooh-ooh, ooh)
A digital (Ooh, ooh-ooh, ooh-ooh, ooh)
But physical (Ooh, ooh-ooh, ooh-ooh, ooh)
Connexion"
ZAYN,DO SOMETHING GOOD,/z/zayn+malik/do+something+good_21107637.html,"[Verse 1]
I smoke two joints before I play video games
Then I get 10,000 points
I flew around this planet only yesterday
Because I am an alien

[Pre-Chorus]
I seen this galaxy and Milky Way
I even watched the sun
I got a J givin' me my light away
Because I don't get drunk

[Chorus]
Let's do something good today, before it's too late
Let's do something good today, before it's too late, this is our day
Let's do something good today, before it's too late
Said let's do something good today, before it's too late, before it's too late

[Verse 2]
Three more joints and I'm still playing video games
Can't even count the points
Play it 'til my fingers bleed
Who said that tomorrow will be guaranteed?

[Chorus]
Let's do something good today, before it's too late
Let's do something good today, before it's too late, this is our day
Let's do something good today, before it's too late
Said let's do something good today, before it's too late, before it's too late

[Bridge]
And then we fly away and we ain't running out of fuel
I'm running off of you, I'm running off of you
And then we fly away and then we fly away and we ain't running out of fuel
I'm running off of you, I'm running off of you and then we fly

[Chorus]
Let's do something good today, before it's too late
Let's do something good today, before it's too late, this is our day
Let's do something good today, before it's too late
Said let's do something good today, before it's too late, before it's too late"
ZAYN,Dragonfly,/z/zayn+malik/dragonfly_21130403.html,"Lyrics for this song has not yet appeared. Check out this page on the release date of the song.

We have a lot of other great lyrics that you like."
ZAYN,Dusk Till Dawn,/z/zayn+malik/dusk+till+dawn+feat+sia_21118973.html,"(feat. Sia)

[Verse 1: ZAYN]
Not tryna be indie
Not tryna be cool
Just tryna be in this
Tell me, are you too?
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room?

[Interlude: ZAYN]
'Cause I wanna touch you baby
And I wanna feel you too
I wanna see the sunrise
On your sins just me and you

[Pre-Chorus: ZAYN & Sia]
Light it up, on the run
Let's make love tonight
Make it up, fall in love, try

[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here

[Post-Chorus: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I am right here

[Verse 2: ZAYN]
We were shut like a jacket
So do your zip
We would roll down the rapids
To find a wave that fits
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room?

[Interlude: ZAYN & Sia]
'Cause I wanna touch you baby
And I wanna feel it too
I wanna see the sunrise
On your sins just me and you

[Pre-Chorus: ZAYN & Sia]
Light it up, on the run
Let's make love tonight
Make it up, fall in love, try

[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here

[Post-Chorus: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I am right here

[Bridge: ZAYN & Sia]
Could give love to your body
So, only you that can stop it
Go, give love to your body
So, only you that can stop it
Go, give love to your body
So, only you that can stop it
Go, give love to your body
Go, give love to your body

[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here

[Post-Chorus: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I am right here

[Outro: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I am right here"
ZAYN,Entertainer,/z/zayn+malik/entertainer_21130099.html,"[Verse 1]
You thought you had me, didn't you?
When you lied to my face, I could see the truth
Every step with the way I knew
How you fooled me, boo

[Pre-Chorus]
Guess you didn’t know that you were my favorite entertainer
I watch you, and laugh with, and fuck with you
Don't you take me for a fool
In this game, I own the rules
You were my favorite entertainer
I watch you, I laugh with, with fake it too
Don't you take me for a fool
I’ma show you a thing or two

[Chorus]
Never seen you comin', I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never seen me comin', I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down

[Verse 2]
Thought that you were smarter, I'm ashamed for you
I knew it right away when you stopped lovin' me
It happened when your touch wasn't enough for me

[Pre-Chorus]
Thought that you should know that you were my favorite entertainer
I watch you, and laugh with, and fuck with you
Don’t you take me for a fool
In this game, I own the rules
You were my favorite entertainer
I watch you, I laugh with, with fake it too
Don’t you take me for a fool
I'ma show you a thing or two

[Chorus]
Never seen you comin’, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never seen me comin', I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down

[Bridge]
Know it’s harder to take, and let's face it
No one's playing your games, let's face it
I'm bein' straight up
I know fake love when I see it anyway
I'ma turn you down when you need me anyway, anyway, anyway

[Chorus]
Never seen you comin', I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never seen me comin', I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down

[Outro]
I know you need me the most
The most, the most
One more time"
ZAYN,Fingers,/z/zayn+malik/fingers_21545309.html,"[Verse 1]
Fucked and I want you
Looked and I loved you
Stuck, now I need you
Hopin' I'd see you
Touch and I feel how
Much can you see her, no
Hiding all your features
Sliding down the filter
Show me, you just in the middle
Don't be hiding what you thinkin'

[Chorus]
I've been fucked and I want you, I can't even text you
'Cause my fingers ain't broken, but my heart is
If you wanna let me know where you hiding
I could come and love you (I could come and love)
I could come and love (I could come and love you)
I could come and love you (I could come and love)
I could come and love you (I could come and love you)

[Verse 2]
What did I tell you? Typo said I loved you
Didn't mean what I was sayin'
No, I wasn't playin', just confused
Was tryna play it smooth
Start spinnin' in this room
In this state, I think I'm too
This state, I think I'm too
'Cause-

[Chorus]
I've been fucked and I want you, I can't even text you
'Cause my fingers ain't broken, but my heart is
If you wanna let me know where you hiding
I could come and love you (I could come and love)
I could come and love (I could come and love you)
I could come and love you (I could come and love)
I could come and love you (I could come and love you)

[Bridge]
I know it's taking all your strength to keep it straight
'Cause you got different things replacin'
All the feelings that you've felt
Know, you're seeing it for yourself
Where's the shame? No shame in what you need

[Chorus]
I've been fucked and I want you, I can't even text you
'Cause my fingers ain't broken, but my heart is
If you wanna let me know where you hiding
I could come and love you (I could come and love)
I could come and love (I could come and love you)
I could come and love you (I could come and love)
I could come and love you (I could come and love you)"
ZAYN,Flight Of The Stars,/z/zayn+malik/flight+of+the+stars_21579991.html,"[Chorus]
I go where you go
Go through Armageddon
Girl I got you
Theres no goodbyes only us
So I will follow
Hold you close standing on the edge of no tomorrow
Still deep in us, get that rush
So I still follow

[Verse 1]
I been feeling high when I touch your body
That's how I feel the soul inside her body
Can't believe my eyes I swear
You gloat I follow you close
Fingertips touch, all I want your body
Fingertips touch all I want

[Pre-Chorus]
All I want
All I ever wanted
It's in front of me
Right in front of me
What have I done
Now I never done
This could be the end of me
Be the end of me

[Chorus]
I go where you go
Go through Armageddon
Girl I got you
Theres no goodbyes only us
So I will follow
Hold you close standing on the edge of no tomorrow
Still deep in us, get that rush
So I still follow

[Verse 2]
I been feeling like I deserve some body
And you burn so bright you can blind somebody
You go following flights to the stars
And these cars can get us home

[Pre-Chorus]
All I want
All I ever wanted
It's in front of me
Right in front of me
What have I done
Now I never done
This could be the end of me
Be the end of me

[Chorus]
I go where you go
Go through Armageddon
Girl I got you
Theres no goodbyes only us
So I will follow
Hold you close standing on the edge of no tomorrow
Still deep in us, get that rush
So I still follow

[Bridge]
As long as you feeling the same
I'll follow you into the flames
As long as you feeling the same
I'll follow you into the flames

[Chorus]
I go where you go
Go through Armageddon
Girl I got you
Theres no goodbyes only us
So I will follow
Hold you close standing on the edge of no tomorrow
Still deep in us, get that rush
So I still follow"
ZAYN,Forever Young,/z/zayn+malik/forever+young_21039744.html,"Let's dance in style, 
Let's dance for a while, 
Heaven can wait we're only watching the skies, 
Hoping for the best but expecting the worst, 
Are you gonna drop the bomb or not?

Let us die young or let us live forever, 
We don't have the power but we never say never, 
Sitting in a sandpit, 
Life is a short trip, 
The music's for the sad man.

Forever young, 
I wanna be, 
Forever young, 
Do you really want to live forever, 
Forever, 
Forever young.

Some are like water, some are like the heat, 
Some are like the melody of some other beat, 
But sooner or later they all will be gone, 
Why don't they stay young?

It's hard to get old without a cause, 
I don't want to perish like a fading horse, 
Youth is like diamonds in the sun, 
And diamonds are forever.

Forever young, 
I wanna be, 
Forever young, 
Do you really want to live forever, 

Forever, 
Or never?

Forever young, 
I wanna be, 
Forever young (forever), 
Do you really want to live forever, 
Forever, 
Or never?

So many adventures couldn't happen today, 
So many songs we forgot to play, 
So many dreams are swinging out of the blue, 
We'll let'em come true.

Forever young, 
I wanna be, 
Forever young, 
Do you really want to live forever, 
Forever, 
Or never?

Forever young, 
I wanna be, 
Forever young Do you really want to live forever, 
Forever, 
Or never?

Forever young, 
I wanna be, 
Forever young (forever), 
Do you really want to live forever, 
Forever, 
Or never?

Forever young, 
I wanna be, 
Forever young (forever), 
Do you really want to live forever (forever), 
Forever (forever), 
Forever young"
ZAYN,Fresh Air,/z/zayn+malik/fresh+air_21580007.html,"[Intro]
You could be a changed man if you wanted
You could make the doves cry if you wanted
Tell me that you wanna die, but you don't
Tell me that you wanna die, but you don't

[Verse 1]
I say I'm sorry, but you're never sober
I start drinking, it's too much thinking, oh
It's the same every time that you're with me

[Chorus]
I think I need some fresh air
Feeling under pressure
Don't wanna talk about it
Don't even get me started over you
You know I ain't tryna go pressure you

[Post-Chorus]
You and me got differences, differences
You and me got differences
Why do you want [?]?
You and me got differences, differences
You and me got differences
Why do you want [?]?

[Verse 2]
It's hard in the [?]
It's a part of my cycle
We could've been right, though
I guess this how life go
There's nothing left I can do for you

[Chorus]
I think I need some fresh air
Feeling under pressure
Don't wanna talk about it
Don't even get me started over you
You know I ain't tryna go pressure you

[Chorus]
I think I need some fresh air
Feeling under pressure
Don't wanna talk about it
Don't even get me started over you
You know I ain't tryna go pressure you

[Post-Chorus]
You and me got differences, differences
You and me got differences
Why do you want [?]?
You and me got differences, differences
You and me got differences
Why do you want [?]?
Why do you want [?]?

[Outro]
You could be a changed man if you wanted
You could make the doves cry if you wanted
Tell me that you wanna die, but you don't
Tell me that you wanna die, but you don't
You and me got differences, differences"
